COM,NCOM,NREG,NDEP,F65-79,F80+,H65-79,H80+,latitude,longitude
1211,Lent,Auvergne-Rhône-Alpes,Ain,100,40,99.0,22.0,46.1160216305,5.20200684747
1212,Lescheroux,Auvergne-Rhône-Alpes,Ain,55,16,50.0,19.0,46.4114892731,5.15107164478
1213,Leyment,Auvergne-Rhône-Alpes,Ain,47,26,59.0,11.0,45.9269989549,5.2947657235
1214,Leyssard,Auvergne-Rhône-Alpes,Ain,15,2,13.0,2.0,46.1624187428,5.47633297491
1215,Surjoux-Lhopital,Auvergne-Rhône-Alpes,Ain,7,4,7.0,5.0,46.0238143134,5.76236736492
1216,Lhuis,Auvergne-Rhône-Alpes,Ain,65,55,81.0,31.0,45.7444141403,5.53602066955
1219,Lompnas,Auvergne-Rhône-Alpes,Ain,9,7,15.0,4.0,45.8105943351,5.52320457866
1224,Loyettes,Auvergne-Rhône-Alpes,Ain,167,56,155.0,37.0,45.7921564114,5.21770971647
1225,Lurcy,Auvergne-Rhône-Alpes,Ain,33,8,29.0,7.0,46.061730034,4.78075207026
1227,Magnieu,Auvergne-Rhône-Alpes,Ain,51,16,51.0,9.0,45.7754050255,5.71540945601
1228,Maillat,Auvergne-Rhône-Alpes,Ain,46,16,45.0,9.0,46.1201642836,5.52854394238
1229,Malafretaz,Auvergne-Rhône-Alpes,Ain,92,44,75.0,26.0,46.3295545661,5.14386299599
1230,Mantenay-Montlin,Auvergne-Rhône-Alpes,Ain,24,10,33.0,5.0,46.4302754511,5.10675899732
1231,Manziat,Auvergne-Rhône-Alpes,Ain,171,54,151.0,43.0,46.3643830585,4.90242777155
1232,Marboz,Auvergne-Rhône-Alpes,Ain,178,84,161.0,64.0,46.3434312497,5.24374534963
1233,Marchamp,Auvergne-Rhône-Alpes,Ain,9,7,8.0,8.0,45.7738495266,5.54985181107
1234,Marignieu,Auvergne-Rhône-Alpes,Ain,15,7,12.0,3.0,45.8010384947,5.71570352924
1235,Marlieux,Auvergne-Rhône-Alpes,Ain,60,40,67.0,21.0,46.0549073186,5.0741150816
1236,Marsonnas,Auvergne-Rhône-Alpes,Ain,73,29,71.0,16.0,46.3409117711,5.06434294764
1237,Martignat,Auvergne-Rhône-Alpes,Ain,90,25,105.0,21.0,46.2030768095,5.61384033805
1238,Massieux,Auvergne-Rhône-Alpes,Ain,191,51,181.0,38.0,45.9094016817,4.82779660051
1239,Massignieu-de-Rives,Auvergne-Rhône-Alpes,Ain,61,15,60.0,8.0,45.7571503942,5.7620535823
1240,Matafelon-Granges,Auvergne-Rhône-Alpes,Ain,36,16,36.0,10.0,46.2565319445,5.53958933702
1240,Matafelon-Granges,Auvergne-Rhône-Alpes,Ain,36,16,36.0,10.0,46.2565319445,5.53958933702
1241,Meillonnas,Auvergne-Rhône-Alpes,Ain,111,40,109.0,22.0,46.244997627,5.33594738489
1242,Mérignat,Auvergne-Rhône-Alpes,Ain,6,2,11.0,0.0,46.0648564341,5.44210660051
1243,Messimy-sur-Saône,Auvergne-Rhône-Alpes,Ain,100,22,89.0,19.0,46.0472670758,4.75935643933
1244,Meximieux,Auvergne-Rhône-Alpes,Ain,505,326,435.0,126.0,45.9060530318,5.20404833653
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,Ain,63,26,75.0,14.0,46.1427060662,5.3780109646
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,Ain,63,26,75.0,14.0,46.1427060662,5.3780109646
1245,Bohas-Meyriat-Rignat,Auvergne-Rhône-Alpes,Ain,63,26,75.0,14.0,46.1427060662,5.3780109646
1246,Mézériat,Auvergne-Rhône-Alpes,Ain,161,64,147.0,45.0,46.2423102101,5.04725416984
1247,Mijoux,Auvergne-Rhône-Alpes,Ain,25,2,15.0,5.0,46.3622451724,6.00902631941
1247,Mijoux,Auvergne-Rhône-Alpes,Ain,25,2,15.0,5.0,46.3622451724,6.00902631941
1248,Mionnay,Auvergne-Rhône-Alpes,Ain,121,26,130.0,25.0,45.8955939299,4.92416967439
1249,Miribel,Auvergne-Rhône-Alpes,Ain,599,364,529.0,172.0,45.8442099203,4.94106746787
1249,Miribel,Auvergne-Rhône-Alpes,Ain,599,364,529.0,172.0,45.8442099203,4.94106746787
